127.0.0.1 - - [23/May/2024:16:48:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2024:16:48:34 +0900] "GET /AjaxLab/ HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [23/May/2024:16:48:38 +0900] "GET /AjaxLab/pizza_xml/pizza_xml.html HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [23/May/2024:16:48:38 +0900] "GET /AjaxLab/pizza_xml/breakneck_new.css HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [23/May/2024:16:48:38 +0900] "GET /AjaxLab/pizza_xml/pizza_xml.js HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [23/May/2024:16:48:38 +0900] "GET /AjaxLab/pizza_xml/breakneck-logo_new.gif HTTP/1.1" 200 20342
0:0:0:0:0:0:0:1 - - [23/May/2024:16:48:38 +0900] "GET /AjaxLab/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [23/May/2024:17:15:39 +0900] "GET /AjaxLab/pizza_xml/pizza_xml.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:17:15:39 +0900] "GET /AjaxLab/pizza_xml/breakneck_new.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:17:15:39 +0900] "GET /AjaxLab/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:17:15:39 +0900] "GET /AjaxLab/pizza_xml/breakneck-logo_new.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:17:15:39 +0900] "GET /AjaxLab/pizza_xml/pizza_xml.js HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [23/May/2024:17:15:43 +0900] "GET /AjaxLab/pizza_xml/pizza_xml.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:17:16:03 +0900] "GET /AjaxLab/pizza_xml/pizza_xml.html HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [23/May/2024:17:16:03 +0900] "GET /AjaxLab/pizza_xml/breakneck_new.css HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [23/May/2024:17:16:03 +0900] "GET /AjaxLab/pizza_xml/pizza_xml.js HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [23/May/2024:17:16:03 +0900] "GET /AjaxLab/pizza_xml/breakneck-logo_new.gif HTTP/1.1" 200 20342
0:0:0:0:0:0:0:1 - - [23/May/2024:17:16:03 +0900] "GET /AjaxLab/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [23/May/2024:17:16:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2024:17:16:34 +0900] "GET /AjaxLab/pizza_xml/pizza_xml.html?phone=010-111-1111&order=&address= HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [23/May/2024:17:16:35 +0900] "GET /AjaxLab/pizza_xml/lookupCustomer_xml.jsp?phone=010-111-1111 HTTP/1.1" 500 2444
